"County","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Fairfield County","09001","2012-2016","White Alone","Number","Per Capita Income",60223
"Fairfield County","09001","2012-2016","White Alone","Number","Margins of Error",842
"Fairfield County","09001","2012-2016","White Alone Not Hispanic or Latino","Number","Per Capita Income",65342
"Fairfield County","09001","2012-2016","White Alone Not Hispanic or Latino","Number","Margins of Error",936
"Fairfield County","09001","2013-2017","All","Number","Per Capita Income",53433
"Fairfield County","09001","2013-2017","All","Number","Margins of Error",614
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Number","Per Capita Income",24405
"Fairfield County","09001","2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",4044
"Fairfield County","09001","2013-2017","Asian Alone","Number","Per Capita Income",55203
"Fairfield County","09001","2013-2017","Asian Alone","Number","Margins of Error",2848
"Fairfield County","09001","2013-2017","Black or African American Alone","Number","Per Capita Income",24870
"Fairfield County","09001","2013-2017","Black or African American Alone","Number","Margins of Error",945
"Fairfield County","09001","2013-2017","Hispanic or Latino","Number","Per Capita Income",23947
"Fairfield County","09001","2013-2017","Hispanic or Latino","Number","Margins of Error",763
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",35577
"Fairfield County","09001","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",13160
"Fairfield County","09001","2013-2017","Some Other Race Alone","Number","Per Capita Income",18237
"Fairfield County","09001","2013-2017","Some Other Race Alone","Number","Margins of Error",858
"Fairfield County","09001","2013-2017","Two or More Races","Number","Per Capita Income",20979
"Fairfield County","09001","2013-2017","Two or More Races","Number","Margins of Error",2451
"Fairfield County","09001","2013-2017","White Alone","Number","Per Capita Income",62363
"Fairfield County","09001","2013-2017","White Alone","Number","Margins of Error",798
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Number","Per Capita Income",68040
"Fairfield County","09001","2013-2017","White Alone Not Hispanic or Latino","Number","Margins of Error",922
"Fairfield County","09001","2014-2018","All","Number","Per Capita Income",55613
"Fairfield County","09001","2014-2018","All","Number","Margins of Error",700
"Fairfield County","09001","2014-2018","American Indian and Alaska Native Alone","Number","Per Capita Income",24367
"Fairfield County","09001","2014-2018","American Indian and Alaska Native Alone","Number","Margins of Error",5406
"Fairfield County","09001","2014-2018","Asian Alone","Number","Per Capita Income",58835
"Fairfield County","09001","2014-2018","Asian Alone","Number","Margins of Error",3371
"Fairfield County","09001","2014-2018","Black or African American Alone","Number","Per Capita Income",26237
"Fairfield County","09001","2014-2018","Black or African American Alone","Number","Margins of Error",1018
"Fairfield County","09001","2014-2018","Hispanic or Latino","Number","Per Capita Income",24561
"Fairfield County","09001","2014-2018","Hispanic or Latino","Number","Margins of Error",859
"Fairfield County","09001","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",65116
"Fairfield County","09001","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",32345
"Fairfield County","09001","2014-2018","Some Other Race Alone","Number","Per Capita Income",18744
"Fairfield County","09001","2014-2018","Some Other Race Alone","Number","Margins of Error",874
"Fairfield County","09001","2014-2018","Two or More Races","Number","Per Capita Income",20043
"Fairfield County","09001","2014-2018","Two or More Races","Number","Margins of Error",1940
"Fairfield County","09001","2014-2018","White Alone","Number","Per Capita Income",64925
"Fairfield County","09001","2014-2018","White Alone","Number","Margins of Error",942
"Fairfield County","09001","2014-2018","White Alone Not Hispanic or Latino","Number","Per Capita Income",71093
"Fairfield County","09001","2014-2018","White Alone Not Hispanic or Latino","Number","Margins of Error",1086
"Hartford County","09003","2005-2009","All","Number","Per Capita Income",32779
"Hartford County","09003","2005-2009","All","Number","Margins of Error",336
"Hartford County","09003","2005-2009","American Indian and Alaska Native Alone","Number","Per Capita Income",19185
"Hartford County","09003","2005-2009","American Indian and Alaska Native Alone","Number","Margins of Error",5512
"Hartford County","09003","2005-2009","Asian Alone","Number","Per Capita Income",31805
"Hartford County","09003","2005-2009","Asian Alone","Number","Margins of Error",2079
"Hartford County","09003","2005-2009","Black or African American Alone","Number","Per Capita Income",20198
"Hartford County","09003","2005-2009","Black or African American Alone","Number","Margins of Error",638
"Hartford County","09003","2005-2009","Hispanic or Latino","Number","Per Capita Income",15611
"Hartford County","09003","2005-2009","Hispanic or Latino","Number","Margins of Error",557
"Hartford County","09003","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",22179
"Hartford County","09003","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",17920
"Hartford County","09003","2005-2009","Some Other Race Alone","Number","Per Capita Income",14436
"Hartford County","09003","2005-2009","Some Other Race Alone","Number","Margins of Error",605
"Hartford County","09003","2005-2009","Two or More Races","Number","Per Capita Income",16520
"Hartford County","09003","2005-2009","Two or More Races","Number","Margins of Error",1936
"Hartford County","09003","2005-2009","White Alone","Number","Per Capita Income",37031
"Hartford County","09003","2005-2009","White Alone","Number","Margins of Error",431
"Hartford County","09003","2005-2009","White Alone Not Hispanic or Latino","Number","Per Capita Income",38640
"Hartford County","09003","2005-2009","White Alone Not Hispanic or Latino","Number","Margins of Error",455
"Hartford County","09003","2006-2010","All","Number","Per Capita Income",33151
"Hartford County","09003","2006-2010","All","Number","Margins of Error",323
"Hartford County","09003","2006-2010","American Indian and Alaska Native Alone","Number","Per Capita Income",18734
"Hartford County","09003","2006-2010","American Indian and Alaska Native Alone","Number","Margins of Error",5583
"Hartford County","09003","2006-2010","Asian Alone","Number","Per Capita Income",31985
"Hartford County","09003","2006-2010","Asian Alone","Number","Margins of Error",1888
"Hartford County","09003","2006-2010","Black or African American Alone","Number","Per Capita Income",20618
"Hartford County","09003","2006-2010","Black or African American Alone","Number","Margins of Error",650
"Hartford County","09003","2006-2010","Hispanic or Latino","Number","Per Capita Income",15658
"Hartford County","09003","2006-2010","Hispanic or Latino","Number","Margins of Error",492
"Hartford County","09003","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",18882
"Hartford County","09003","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",12552
"Hartford County","09003","2006-2010","Some Other Race Alone","Number","Per Capita Income",14609
"Hartford County","09003","2006-2010","Some Other Race Alone","Number","Margins of Error",558
"Hartford County","09003","2006-2010","Two or More Races","Number","Per Capita Income",15246
"Hartford County","09003","2006-2010","Two or More Races","Number","Margins of Error",1586
"Hartford County","09003","2006-2010","White Alone","Number","Per Capita Income",37802
"Hartford County","09003","2006-2010","White Alone","Number","Margins of Error",443
"Hartford County","09003","2006-2010","White Alone Not Hispanic or Latino","Number","Per Capita Income",39610
"Hartford County","09003","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",453
"Hartford County","09003","2007-2011","All","Number","Per Capita Income",33991
"Hartford County","09003","2007-2011","All","Number","Margins of Error",329
"Hartford County","09003","2007-2011","American Indian and Alaska Native Alone","Number","Per Capita Income",18096
"Hartford County","09003","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",5096
"Hartford County","09003","2007-2011","Asian Alone","Number","Per Capita Income",33600
"Hartford County","09003","2007-2011","Asian Alone","Number","Margins of Error",2020
"Hartford County","09003","2007-2011","Black or African American Alone","Number","Per Capita Income",21328
"Hartford County","09003","2007-2011","Black or African American Alone","Number","Margins of Error",637
"Hartford County","09003","2007-2011","Hispanic or Latino","Number","Per Capita Income",15810
"Hartford County","09003","2007-2011","Hispanic or Latino","Number","Margins of Error",530
"Hartford County","09003","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",21287
"Hartford County","09003","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",10339
"Hartford County","09003","2007-2011","Some Other Race Alone","Number","Per Capita Income",14726
"Hartford County","09003","2007-2011","Some Other Race Alone","Number","Margins of Error",569
"Hartford County","09003","2007-2011","Two or More Races","Number","Per Capita Income",14960
"Hartford County","09003","2007-2011","Two or More Races","Number","Margins of Error",1290
"Hartford County","09003","2007-2011","White Alone","Number","Per Capita Income",38776
"Hartford County","09003","2007-2011","White Alone","Number","Margins of Error",392
"Hartford County","09003","2007-2011","White Alone Not Hispanic or Latino","Number","Per Capita Income",40781
"Hartford County","09003","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",444
"Hartford County","09003","2008-2012","All","Number","Per Capita Income",34356
"Hartford County","09003","2008-2012","All","Number","Margins of Error",336
"Hartford County","09003","2008-2012","American Indian and Alaska Native Alone","Number","Per Capita Income",17884
"Hartford County","09003","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",4540
"Hartford County","09003","2008-2012","Asian Alone","Number","Per Capita Income",34342
"Hartford County","09003","2008-2012","Asian Alone","Number","Margins of Error",1840
"Hartford County","09003","2008-2012","Black or African American Alone","Number","Per Capita Income",21195
"Hartford County","09003","2008-2012","Black or African American Alone","Number","Margins of Error",548
"Hartford County","09003","2008-2012","Hispanic or Latino","Number","Per Capita Income",16077
"Hartford County","09003","2008-2012","Hispanic or Latino","Number","Margins of Error",460
"Hartford County","09003","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",82219
"Hartford County","09003","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",71885
"Hartford County","09003","2008-2012","Some Other Race Alone","Number","Per Capita Income",14732
"Hartford County","09003","2008-2012","Some Other Race Alone","Number","Margins of Error",621
"Hartford County","09003","2008-2012","Two or More Races","Number","Per Capita Income",14373
"Hartford County","09003","2008-2012","Two or More Races","Number","Margins of Error",1028
"Hartford County","09003","2008-2012","White Alone","Number","Per Capita Income",39155
"Hartford County","09003","2008-2012","White Alone","Number","Margins of Error",452
"Hartford County","09003","2008-2012","White Alone Not Hispanic or Latino","Number","Per Capita Income",41423
"Hartford County","09003","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",479
"Hartford County","09003","2009-2013","All","Number","Per Capita Income",34698
"Hartford County","09003","2009-2013","All","Number","Margins of Error",321
"Hartford County","09003","2009-2013","American Indian and Alaska Native Alone","Number","Per Capita Income",15498
"Hartford County","09003","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",3406
"Hartford County","09003","2009-2013","Asian Alone","Number","Per Capita Income",35777
"Hartford County","09003","2009-2013","Asian Alone","Number","Margins of Error",1949
"Hartford County","09003","2009-2013","Black or African American Alone","Number","Per Capita Income",21360
"Hartford County","09003","2009-2013","Black or African American Alone","Number","Margins of Error",638
"Hartford County","09003","2009-2013","Hispanic or Latino","Number","Per Capita Income",15922
"Hartford County","09003","2009-2013","Hispanic or Latino","Number","Margins of Error",485
"Hartford County","09003","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",77688
"Hartford County","09003","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",74526
"Hartford County","09003","2009-2013","Some Other Race Alone","Number","Per Capita Income",14878
"Hartford County","09003","2009-2013","Some Other Race Alone","Number","Margins of Error",718
"Hartford County","09003","2009-2013","Two or More Races","Number","Per Capita Income",13852
"Hartford County","09003","2009-2013","Two or More Races","Number","Margins of Error",1082
"Hartford County","09003","2009-2013","White Alone","Number","Per Capita Income",39611
"Hartford County","09003","2009-2013","White Alone","Number","Margins of Error",429
"Hartford County","09003","2009-2013","White Alone Not Hispanic or Latino","Number","Per Capita Income",42111
"Hartford County","09003","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",483
"Hartford County","09003","2010-2014","All","Number","Per Capita Income",35307
"Hartford County","09003","2010-2014","All","Number","Margins of Error",409
"Hartford County","09003","2010-2014","American Indian and Alaska Native Alone","Number","Per Capita Income",15894
"Hartford County","09003","2010-2014","American Indian and Alaska Native Alone","Number","Margins of Error",3947
"Hartford County","09003","2010-2014","Asian Alone","Number","Per Capita Income",36020
"Hartford County","09003","2010-2014","Asian Alone","Number","Margins of Error",1888
"Hartford County","09003","2010-2014","Black or African American Alone","Number","Per Capita Income",21456
"Hartford County","09003","2010-2014","Black or African American Alone","Number","Margins of Error",574
"Hartford County","09003","2010-2014","Hispanic or Latino","Number","Per Capita Income",16397
"Hartford County","09003","2010-2014","Hispanic or Latino","Number","Margins of Error",485
"Hartford County","09003","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",82885
"Hartford County","09003","2010-2014","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",66662
"Hartford County","09003","2010-2014","Some Other Race Alone","Number","Per Capita Income",15312
"Hartford County","09003","2010-2014","Some Other Race Alone","Number","Margins of Error",926
"Hartford County","09003","2010-2014","Two or More Races","Number","Per Capita Income",15265
"Hartford County","09003","2010-2014","Two or More Races","Number","Margins of Error",1201
"Hartford County","09003","2010-2014","White Alone","Number","Per Capita Income",40275
"Hartford County","09003","2010-2014","White Alone","Number","Margins of Error",499
"Hartford County","09003","2010-2014","White Alone Not Hispanic or Latino","Number","Per Capita Income",43081
"Hartford County","09003","2010-2014","White Alone Not Hispanic or Latino","Number","Margins of Error",553
"Hartford County","09003","2011-2015","All","Number","Per Capita Income",35611
"Hartford County","09003","2011-2015","All","Number","Margins of Error",374
"Hartford County","09003","2011-2015","American Indian and Alaska Native Alone","Number","Per Capita Income",18179
"Hartford County","09003","2011-2015","American Indian and Alaska Native Alone","Number","Margins of Error",3359
"Hartford County","09003","2011-2015","Asian Alone","Number","Per Capita Income",37543
"Hartford County","09003","2011-2015","Asian Alone","Number","Margins of Error",2225
"Hartford County","09003","2011-2015","Black or African American Alone","Number","Per Capita Income",21736
"Hartford County","09003","2011-2015","Black or African American Alone","Number","Margins of Error",660
"Hartford County","09003","2011-2015","Hispanic or Latino","Number","Per Capita Income",17056
"Hartford County","09003","2011-2015","Hispanic or Latino","Number","Margins of Error",620
"Hartford County","09003","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",89106
"Hartford County","09003","2011-2015","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",82371
"Hartford County","09003","2011-2015","Some Other Race Alone","Number","Per Capita Income",15234
"Hartford County","09003","2011-2015","Some Other Race Alone","Number","Margins of Error",885
"Hartford County","09003","2011-2015","Two or More Races","Number","Per Capita Income",15267
"Hartford County","09003","2011-2015","Two or More Races","Number","Margins of Error",1442
"Hartford County","09003","2011-2015","White Alone","Number","Per Capita Income",40564
"Hartford County","09003","2011-2015","White Alone","Number","Margins of Error",483
"Hartford County","09003","2011-2015","White Alone Not Hispanic or Latino","Number","Per Capita Income",43432
"Hartford County","09003","2011-2015","White Alone Not Hispanic or Latino","Number","Margins of Error",497
"Hartford County","09003","2012-2016","All","Number","Per Capita Income",36570
"Hartford County","09003","2012-2016","All","Number","Margins of Error",386
"Hartford County","09003","2012-2016","American Indian and Alaska Native Alone","Number","Per Capita Income",17214
"Hartford County","09003","2012-2016","American Indian and Alaska Native Alone","Number","Margins of Error",2888
"Hartford County","09003","2012-2016","Asian Alone","Number","Per Capita Income",38344
"Hartford County","09003","2012-2016","Asian Alone","Number","Margins of Error",1787
"Hartford County","09003","2012-2016","Black or African American Alone","Number","Per Capita Income",22744
"Hartford County","09003","2012-2016","Black or African American Alone","Number","Margins of Error",628
"Hartford County","09003","2012-2016","Hispanic or Latino","Number","Per Capita Income",17756
"Hartford County","09003","2012-2016","Hispanic or Latino","Number","Margins of Error",533
"Hartford County","09003","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",93034
"Hartford County","09003","2012-2016","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",79307
"Hartford County","09003","2012-2016","Some Other Race Alone","Number","Per Capita Income",16029
"Hartford County","09003","2012-2016","Some Other Race Alone","Number","Margins of Error",826
"Hartford County","09003","2012-2016","Two or More Races","Number","Per Capita Income",15346
"Hartford County","09003","2012-2016","Two or More Races","Number","Margins of Error",1215
"Hartford County","09003","2012-2016","White Alone","Number","Per Capita Income",41632
"Hartford County","09003","2012-2016","White Alone","Number","Margins of Error",479
"Hartford County","09003","2012-2016","White Alone Not Hispanic or Latino","Number","Per Capita Income",44720
"Hartford County","09003","2012-2016","White Alone Not Hispanic or Latino","Number","Margins of Error",532
"Hartford County","09003","2013-2017","All","Number","Per Capita Income",37817
"Hartford County","09003","2013-2017","All","Number","Margins of Error",386
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Number","Per Capita Income",19290
"Hartford County","09003","2013-2017","American Indian and Alaska Native Alone","Number","Margins of Error",3862
"Hartford County","09003","2013-2017","Asian Alone","Number","Per Capita Income",39515
"Hartford County","09003","2013-2017","Asian Alone","Number","Margins of Error",1807
"Hartford County","09003","2013-2017","Black or African American Alone","Number","Per Capita Income",24027
"Hartford County","09003","2013-2017","Black or African American Alone","Number","Margins of Error",637
"Hartford County","09003","2013-2017","Hispanic or Latino","Number","Per Capita Income",18664
"Hartford County","09003","2013-2017","Hispanic or Latino","Number","Margins of Error",632
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",44561
"Hartford County","09003","2013-2017","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",50688
"Hartford County","09003","2013-2017","Some Other Race Alone","Number","Per Capita Income",16760
"Hartford County","09003","2013-2017","Some Other Race Alone","Number","Margins of Error",726
"Hartford County","09003","2013-2017","Two or More Races","Number","Per Capita Income",16894
"Hartford County","09003","2013-2017","Two or More Races","Number","Margins of Error",1563
"Hartford County","09003","2013-2017","White Alone","Number","Per Capita Income",43083
"Hartford County","09003","2013-2017","White Alone","Number","Margins of Error",476
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Number","Per Capita Income",46332
"Hartford County","09003","2013-2017","White Alone Not Hispanic or Latino","Number","Margins of Error",509
"Hartford County","09003","2014-2018","All","Number","Per Capita Income",39260
"Hartford County","09003","2014-2018","All","Number","Margins of Error",410
"Hartford County","09003","2014-2018","American Indian and Alaska Native Alone","Number","Per Capita Income",19409
"Hartford County","09003","2014-2018","American Indian and Alaska Native Alone","Number","Margins of Error",3487
"Hartford County","09003","2014-2018","Asian Alone","Number","Per Capita Income",42308
"Hartford County","09003","2014-2018","Asian Alone","Number","Margins of Error",2141
"Hartford County","09003","2014-2018","Black or African American Alone","Number","Per Capita Income",25092
"Hartford County","09003","2014-2018","Black or African American Alone","Number","Margins of Error",860
"Hartford County","09003","2014-2018","Hispanic or Latino","Number","Per Capita Income",19747
"Hartford County","09003","2014-2018","Hispanic or Latino","Number","Margins of Error",535
"Hartford County","09003","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",39340
"Hartford County","09003","2014-2018","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",51437
"Hartford County","09003","2014-2018","Some Other Race Alone","Number","Per Capita Income",17492
"Hartford County","09003","2014-2018","Some Other Race Alone","Number","Margins of Error",843
"Hartford County","09003","2014-2018","Two or More Races","Number","Per Capita Income",17635
"Hartford County","09003","2014-2018","Two or More Races","Number","Margins of Error",1215
"Hartford County","09003","2014-2018","White Alone","Number","Per Capita Income",44661
"Hartford County","09003","2014-2018","White Alone","Number","Margins of Error",469
"Hartford County","09003","2014-2018","White Alone Not Hispanic or Latino","Number","Per Capita Income",48138
"Hartford County","09003","2014-2018","White Alone Not Hispanic or Latino","Number","Margins of Error",524
"Litchfield County","09005","2005-2009","All","Number","Per Capita Income",35387
"Litchfield County","09005","2005-2009","All","Number","Margins of Error",776
"Litchfield County","09005","2005-2009","American Indian and Alaska Native Alone","Number","Per Capita Income",17262
"Litchfield County","09005","2005-2009","American Indian and Alaska Native Alone","Number","Margins of Error",4984
"Litchfield County","09005","2005-2009","Asian Alone","Number","Per Capita Income",32007
"Litchfield County","09005","2005-2009","Asian Alone","Number","Margins of Error",6803
"Litchfield County","09005","2005-2009","Black or African American Alone","Number","Per Capita Income",44983
"Litchfield County","09005","2005-2009","Black or African American Alone","Number","Margins of Error",10631
"Litchfield County","09005","2005-2009","Hispanic or Latino","Number","Per Capita Income",18994
"Litchfield County","09005","2005-2009","Hispanic or Latino","Number","Margins of Error",2353
"Litchfield County","09005","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",32155
"Litchfield County","09005","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",21497
"Litchfield County","09005","2005-2009","Some Other Race Alone","Number","Per Capita Income",22241
"Litchfield County","09005","2005-2009","Some Other Race Alone","Number","Margins of Error",4208
"Litchfield County","09005","2005-2009","Two or More Races","Number","Per Capita Income",14546
"Litchfield County","09005","2005-2009","Two or More Races","Number","Margins of Error",2839
"Litchfield County","09005","2005-2009","White Alone","Number","Per Capita Income",35847
"Litchfield County","09005","2005-2009","White Alone","Number","Margins of Error",816
"Litchfield County","09005","2005-2009","White Alone Not Hispanic or Latino","Number","Per Capita Income",36286
"Litchfield County","09005","2005-2009","White Alone Not Hispanic or Latino","Number","Margins of Error",823
"Litchfield County","09005","2006-2010","All","Number","Per Capita Income",35848
"Litchfield County","09005","2006-2010","All","Number","Margins of Error",718
"Litchfield County","09005","2006-2010","American Indian and Alaska Native Alone","Number","Per Capita Income",21466
"Litchfield County","09005","2006-2010","American Indian and Alaska Native Alone","Number","Margins of Error",6664
"Litchfield County","09005","2006-2010","Asian Alone","Number","Per Capita Income",31762
"Litchfield County","09005","2006-2010","Asian Alone","Number","Margins of Error",6528
"Litchfield County","09005","2006-2010","Black or African American Alone","Number","Per Capita Income",43685
"Litchfield County","09005","2006-2010","Black or African American Alone","Number","Margins of Error",13679
"Litchfield County","09005","2006-2010","Hispanic or Latino","Number","Per Capita Income",21995
"Litchfield County","09005","2006-2010","Hispanic or Latino","Number","Margins of Error",2996
"Litchfield County","09005","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",8817
"Litchfield County","09005","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",8798
"Litchfield County","09005","2006-2010","Some Other Race Alone","Number","Per Capita Income",19956
"Litchfield County","09005","2006-2010","Some Other Race Alone","Number","Margins of Error",3526
"Litchfield County","09005","2006-2010","Two or More Races","Number","Per Capita Income",16783
"Litchfield County","09005","2006-2010","Two or More Races","Number","Margins of Error",6413
"Litchfield County","09005","2006-2010","White Alone","Number","Per Capita Income",36365
"Litchfield County","09005","2006-2010","White Alone","Number","Margins of Error",713
"Litchfield County","09005","2006-2010","White Alone Not Hispanic or Latino","Number","Per Capita Income",36748
"Litchfield County","09005","2006-2010","White Alone Not Hispanic or Latino","Number","Margins of Error",726
"Litchfield County","09005","2007-2011","All","Number","Per Capita Income",37249
"Litchfield County","09005","2007-2011","All","Number","Margins of Error",971
"Litchfield County","09005","2007-2011","American Indian and Alaska Native Alone","Number","Per Capita Income",20285
"Litchfield County","09005","2007-2011","American Indian and Alaska Native Alone","Number","Margins of Error",7255
"Litchfield County","09005","2007-2011","Asian Alone","Number","Per Capita Income",33474
"Litchfield County","09005","2007-2011","Asian Alone","Number","Margins of Error",6991
"Litchfield County","09005","2007-2011","Black or African American Alone","Number","Per Capita Income",36630
"Litchfield County","09005","2007-2011","Black or African American Alone","Number","Margins of Error",8787
"Litchfield County","09005","2007-2011","Hispanic or Latino","Number","Per Capita Income",21839
"Litchfield County","09005","2007-2011","Hispanic or Latino","Number","Margins of Error",3041
"Litchfield County","09005","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Litchfield County","09005","2007-2011","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Litchfield County","09005","2007-2011","Some Other Race Alone","Number","Per Capita Income",19893
"Litchfield County","09005","2007-2011","Some Other Race Alone","Number","Margins of Error",4064
"Litchfield County","09005","2007-2011","Two or More Races","Number","Per Capita Income",18506
"Litchfield County","09005","2007-2011","Two or More Races","Number","Margins of Error",6299
"Litchfield County","09005","2007-2011","White Alone","Number","Per Capita Income",37871
"Litchfield County","09005","2007-2011","White Alone","Number","Margins of Error",1010
"Litchfield County","09005","2007-2011","White Alone Not Hispanic or Latino","Number","Per Capita Income",38364
"Litchfield County","09005","2007-2011","White Alone Not Hispanic or Latino","Number","Margins of Error",1022
"Litchfield County","09005","2008-2012","All","Number","Per Capita Income",37410
"Litchfield County","09005","2008-2012","All","Number","Margins of Error",958
"Litchfield County","09005","2008-2012","American Indian and Alaska Native Alone","Number","Per Capita Income",26768
"Litchfield County","09005","2008-2012","American Indian and Alaska Native Alone","Number","Margins of Error",9403
"Litchfield County","09005","2008-2012","Asian Alone","Number","Per Capita Income",31858
"Litchfield County","09005","2008-2012","Asian Alone","Number","Margins of Error",6047
"Litchfield County","09005","2008-2012","Black or African American Alone","Number","Per Capita Income",33943
"Litchfield County","09005","2008-2012","Black or African American Alone","Number","Margins of Error",10557
"Litchfield County","09005","2008-2012","Hispanic or Latino","Number","Per Capita Income",21625
"Litchfield County","09005","2008-2012","Hispanic or Latino","Number","Margins of Error",3220
"Litchfield County","09005","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Litchfield County","09005","2008-2012","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Litchfield County","09005","2008-2012","Some Other Race Alone","Number","Per Capita Income",19218
"Litchfield County","09005","2008-2012","Some Other Race Alone","Number","Margins of Error",5953
"Litchfield County","09005","2008-2012","Two or More Races","Number","Per Capita Income",19479
"Litchfield County","09005","2008-2012","Two or More Races","Number","Margins of Error",7594
"Litchfield County","09005","2008-2012","White Alone","Number","Per Capita Income",38074
"Litchfield County","09005","2008-2012","White Alone","Number","Margins of Error",981
"Litchfield County","09005","2008-2012","White Alone Not Hispanic or Latino","Number","Per Capita Income",38651
"Litchfield County","09005","2008-2012","White Alone Not Hispanic or Latino","Number","Margins of Error",996
"Litchfield County","09005","2009-2013","All","Number","Per Capita Income",37667
"Litchfield County","09005","2009-2013","All","Number","Margins of Error",1015
"Litchfield County","09005","2009-2013","American Indian and Alaska Native Alone","Number","Per Capita Income",19031
"Litchfield County","09005","2009-2013","American Indian and Alaska Native Alone","Number","Margins of Error",10725
"Litchfield County","09005","2009-2013","Asian Alone","Number","Per Capita Income",28754
"Litchfield County","09005","2009-2013","Asian Alone","Number","Margins of Error",4657
"Litchfield County","09005","2009-2013","Black or African American Alone","Number","Per Capita Income",27757
"Litchfield County","09005","2009-2013","Black or African American Alone","Number","Margins of Error",5842
"Litchfield County","09005","2009-2013","Hispanic or Latino","Number","Per Capita Income",20380
"Litchfield County","09005","2009-2013","Hispanic or Latino","Number","Margins of Error",2561
"Litchfield County","09005","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",-9999
"Litchfield County","09005","2009-2013","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",-9999
"Litchfield County","09005","2009-2013","Some Other Race Alone","Number","Per Capita Income",17833
"Litchfield County","09005","2009-2013","Some Other Race Alone","Number","Margins of Error",4347
"Litchfield County","09005","2009-2013","Two or More Races","Number","Per Capita Income",19257
"Litchfield County","09005","2009-2013","Two or More Races","Number","Margins of Error",5997
"Litchfield County","09005","2009-2013","White Alone","Number","Per Capita Income",38574
"Litchfield County","09005","2009-2013","White Alone","Number","Margins of Error",1065
"Litchfield County","09005","2009-2013","White Alone Not Hispanic or Latino","Number","Per Capita Income",39185
"Litchfield County","09005","2009-2013","White Alone Not Hispanic or Latino","Number","Margins of Error",1123
"Litchfield County","09005","2010-2014","All","Number","Per Capita Income",37696
"Litchfield County","09005","2010-2014","All","Number","Margins of Error",785
"Litchfield County","09005","2010-2014","American Indian and Alaska Native Alone","Number","Per Capita Income",25401
"Litchfield County","09005","2010-2014","American Indian and Alaska Native Alone","Number","Margins of Error",14707
"Litchfield County","09005","2010-2014","Asian Alone","Number","Per Capita Income",30077
"Litchfield County","09005","2010-2014","Asian Alone","Number","Margins of Error",5370
"Litchfield County","09005","2010-2014","Black or African American Alone","Number","Per Capita Income",22842
