"County","FIPS","Year","Race/Ethnicity","Age","Poverty Status","Measure Type","Variable","Value"
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",5.47
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",0.26
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",427701
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",3101.09
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",17.99
"Connecticut","09","2013-2017","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.13
"Connecticut","09","2014-2018","All","Total","Below Poverty Level","Number","Poverty Status",348449
"Connecticut","09","2014-2018","All","Total","Below Poverty Level","Number","Margins of Error",6541
"Connecticut","09","2014-2018","All","Total","Below Poverty Level","Percent","Poverty Status",10.03
"Connecticut","09","2014-2018","All","Total","Below Poverty Level","Percent","Margins of Error",0.19
"Connecticut","09","2014-2018","All","Total","Poverty Status Determined","Number","Poverty Status",3474901
"Connecticut","09","2014-2018","All","Total","Poverty Status Determined","Number","Margins of Error",837
"Connecticut","09","2014-2018","All","Under 18","Below Poverty Level","Number","Poverty Status",100097
"Connecticut","09","2014-2018","All","Under 18","Below Poverty Level","Number","Margins of Error",2371.79
"Connecticut","09","2014-2018","All","Under 18","Below Poverty Level","Percent","Poverty Status",13.47
"Connecticut","09","2014-2018","All","Under 18","Below Poverty Level","Percent","Margins of Error",0.31
"Connecticut","09","2014-2018","All","Under 18","Poverty Status Determined","Number","Poverty Status",743194
"Connecticut","09","2014-2018","All","Under 18","Poverty Status Determined","Number","Margins of Error",4693.57
"Connecticut","09","2014-2018","All","Under 18","Poverty Status Determined","Percent","Poverty Status",21.39
"Connecticut","09","2014-2018","All","Under 18","Poverty Status Determined","Percent","Margins of Error",0.13
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Poverty Status",1570
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Margins of Error",472
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Poverty Status",16.98
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Margins of Error",4.67
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Poverty Status",9248
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Margins of Error",1120
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Poverty Status",331
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Margins of Error",151.54
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Poverty Status",14.4
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Margins of Error",6.02
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Poverty Status",2299
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Margins of Error",428.99
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",24.86
"Connecticut","09","2014-2018","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",3.53
"Connecticut","09","2014-2018","Asian Alone","Total","Below Poverty Level","Number","Poverty Status",12006
"Connecticut","09","2014-2018","Asian Alone","Total","Below Poverty Level","Number","Margins of Error",1081
"Connecticut","09","2014-2018","Asian Alone","Total","Below Poverty Level","Percent","Poverty Status",7.8
"Connecticut","09","2014-2018","Asian Alone","Total","Below Poverty Level","Percent","Margins of Error",0.7
"Connecticut","09","2014-2018","Asian Alone","Total","Poverty Status Determined","Number","Poverty Status",153947
"Connecticut","09","2014-2018","Asian Alone","Total","Poverty Status Determined","Number","Margins of Error",1472
"Connecticut","09","2014-2018","Asian Alone","Under 18","Below Poverty Level","Number","Poverty Status",2463
"Connecticut","09","2014-2018","Asian Alone","Under 18","Below Poverty Level","Number","Margins of Error",363.52
"Connecticut","09","2014-2018","Asian Alone","Under 18","Below Poverty Level","Percent","Poverty Status",7.3
"Connecticut","09","2014-2018","Asian Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.06
"Connecticut","09","2014-2018","Asian Alone","Under 18","Poverty Status Determined","Number","Poverty Status",33748
"Connecticut","09","2014-2018","Asian Alone","Under 18","Poverty Status Determined","Number","Margins of Error",983.54
"Connecticut","09","2014-2018","Asian Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",21.92
"Connecticut","09","2014-2018","Asian Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.6
"Connecticut","09","2014-2018","Black or African American Alone","Total","Below Poverty Level","Number","Poverty Status",66722
"Connecticut","09","2014-2018","Black or African American Alone","Total","Below Poverty Level","Number","Margins of Error",2995
"Connecticut","09","2014-2018","Black or African American Alone","Total","Below Poverty Level","Percent","Poverty Status",18.47
"Connecticut","09","2014-2018","Black or African American Alone","Total","Below Poverty Level","Percent","Margins of Error",0.82
"Connecticut","09","2014-2018","Black or African American Alone","Total","Poverty Status Determined","Number","Poverty Status",361174
"Connecticut","09","2014-2018","Black or African American Alone","Total","Poverty Status Determined","Number","Margins of Error",2817
"Connecticut","09","2014-2018","Black or African American Alone","Under 18","Below Poverty Level","Number","Poverty Status",23002
"Connecticut","09","2014-2018","Black or African American Alone","Under 18","Below Poverty Level","Number","Margins of Error",1239.21
"Connecticut","09","2014-2018","Black or African American Alone","Under 18","Below Poverty Level","Percent","Poverty Status",25.2
"Connecticut","09","2014-2018","Black or African American Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.23
"Connecticut","09","2014-2018","Black or African American Alone","Under 18","Poverty Status Determined","Number","Poverty Status",91286
"Connecticut","09","2014-2018","Black or African American Alone","Under 18","Poverty Status Determined","Number","Margins of Error",2104.76
"Connecticut","09","2014-2018","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",25.27
"Connecticut","09","2014-2018","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.55
"Connecticut","09","2014-2018","Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",124483
"Connecticut","09","2014-2018","Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",4657
"Connecticut","09","2014-2018","Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",22.71
"Connecticut","09","2014-2018","Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",0.85
"Connecticut","09","2014-2018","Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",548176
"Connecticut","09","2014-2018","Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",629
"Connecticut","09","2014-2018","Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",50064
"Connecticut","09","2014-2018","Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",1636.18
"Connecticut","09","2014-2018","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",28.91
"Connecticut","09","2014-2018","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",0.83
"Connecticut","09","2014-2018","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",173197
"Connecticut","09","2014-2018","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",2679.26
"Connecticut","09","2014-2018","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",31.6
"Connecticut","09","2014-2018","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.49
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Poverty Status",294
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Margins of Error",153
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Poverty Status",26.25
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Margins of Error",11.93
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Poverty Status",1120
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Margins of Error",284
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Poverty Status",58
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Margins of Error",107.02
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Poverty Status",26.01
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Margins of Error",44.43
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Poverty Status",223
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Margins of Error",155.52
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Poverty Status",19.91
"Connecticut","09","2014-2018","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Margins of Error",12.94
"Connecticut","09","2014-2018","Some Other Race Alone","Total","Below Poverty Level","Number","Poverty Status",46876
"Connecticut","09","2014-2018","Some Other Race Alone","Total","Below Poverty Level","Number","Margins of Error",3176
"Connecticut","09","2014-2018","Some Other Race Alone","Total","Below Poverty Level","Percent","Poverty Status",26.18
"Connecticut","09","2014-2018","Some Other Race Alone","Total","Below Poverty Level","Percent","Margins of Error",1.59
"Connecticut","09","2014-2018","Some Other Race Alone","Total","Poverty Status Determined","Number","Poverty Status",179085
"Connecticut","09","2014-2018","Some Other Race Alone","Total","Poverty Status Determined","Number","Margins of Error",5421
"Connecticut","09","2014-2018","Some Other Race Alone","Under 18","Below Poverty Level","Number","Poverty Status",16728
"Connecticut","09","2014-2018","Some Other Race Alone","Under 18","Below Poverty Level","Number","Margins of Error",1099.24
"Connecticut","09","2014-2018","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Poverty Status",32.54
"Connecticut","09","2014-2018","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.8
"Connecticut","09","2014-2018","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Poverty Status",51400
"Connecticut","09","2014-2018","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1817.49
"Connecticut","09","2014-2018","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",28.7
"Connecticut","09","2014-2018","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.52
"Connecticut","09","2014-2018","Two or More Races","Total","Below Poverty Level","Number","Poverty Status",17675
"Connecticut","09","2014-2018","Two or More Races","Total","Below Poverty Level","Number","Margins of Error",1538
"Connecticut","09","2014-2018","Two or More Races","Total","Below Poverty Level","Percent","Poverty Status",16.27
"Connecticut","09","2014-2018","Two or More Races","Total","Below Poverty Level","Percent","Margins of Error",1.32
"Connecticut","09","2014-2018","Two or More Races","Total","Poverty Status Determined","Number","Poverty Status",108624
"Connecticut","09","2014-2018","Two or More Races","Total","Poverty Status Determined","Number","Margins of Error",3476
"Connecticut","09","2014-2018","Two or More Races","Under 18","Below Poverty Level","Number","Poverty Status",9285
"Connecticut","09","2014-2018","Two or More Races","Under 18","Below Poverty Level","Number","Margins of Error",789.5
"Connecticut","09","2014-2018","Two or More Races","Under 18","Below Poverty Level","Percent","Poverty Status",17.08
"Connecticut","09","2014-2018","Two or More Races","Under 18","Below Poverty Level","Percent","Margins of Error",1.34
"Connecticut","09","2014-2018","Two or More Races","Under 18","Poverty Status Determined","Number","Poverty Status",54356
"Connecticut","09","2014-2018","Two or More Races","Under 18","Poverty Status Determined","Number","Margins of Error",1797.26
"Connecticut","09","2014-2018","Two or More Races","Under 18","Poverty Status Determined","Percent","Poverty Status",50.04
"Connecticut","09","2014-2018","Two or More Races","Under 18","Poverty Status Determined","Percent","Margins of Error",0.42
"Connecticut","09","2014-2018","White Alone","Total","Below Poverty Level","Number","Poverty Status",203306
"Connecticut","09","2014-2018","White Alone","Total","Below Poverty Level","Number","Margins of Error",4340
"Connecticut","09","2014-2018","White Alone","Total","Below Poverty Level","Percent","Poverty Status",7.64
"Connecticut","09","2014-2018","White Alone","Total","Below Poverty Level","Percent","Margins of Error",0.16
"Connecticut","09","2014-2018","White Alone","Total","Poverty Status Determined","Number","Poverty Status",2661703
"Connecticut","09","2014-2018","White Alone","Total","Poverty Status Determined","Number","Margins of Error",5477
"Connecticut","09","2014-2018","White Alone","Under 18","Below Poverty Level","Number","Poverty Status",48230
"Connecticut","09","2014-2018","White Alone","Under 18","Below Poverty Level","Number","Margins of Error",1648.05
"Connecticut","09","2014-2018","White Alone","Under 18","Below Poverty Level","Percent","Poverty Status",9.46
"Connecticut","09","2014-2018","White Alone","Under 18","Below Poverty Level","Percent","Margins of Error",0.32
"Connecticut","09","2014-2018","White Alone","Under 18","Poverty Status Determined","Number","Poverty Status",509882
"Connecticut","09","2014-2018","White Alone","Under 18","Poverty Status Determined","Number","Margins of Error",3799.88
"Connecticut","09","2014-2018","White Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",19.16
"Connecticut","09","2014-2018","White Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.14
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",139467
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",3652
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",5.93
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",0.16
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",2350530
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",1523
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",22855
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",1169.15
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",5.49
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",0.28
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",416520
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",3095.33
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",17.72
"Connecticut","09","2014-2018","White Alone Not Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.13
"Fairfield County","09001","2005-2009","All","Total","Below Poverty Level","Number","Poverty Status",65652
"Fairfield County","09001","2005-2009","All","Total","Below Poverty Level","Number","Margins of Error",3303
"Fairfield County","09001","2005-2009","All","Total","Below Poverty Level","Percent","Poverty Status",7.53
"Fairfield County","09001","2005-2009","All","Total","Below Poverty Level","Percent","Margins of Error",0.38
"Fairfield County","09001","2005-2009","All","Total","Poverty Status Determined","Number","Poverty Status",871362
"Fairfield County","09001","2005-2009","All","Total","Poverty Status Determined","Number","Margins of Error",1774
"Fairfield County","09001","2005-2009","All","Under 18","Below Poverty Level","Number","Poverty Status",20027
"Fairfield County","09001","2005-2009","All","Under 18","Below Poverty Level","Number","Margins of Error",1142.86
"Fairfield County","09001","2005-2009","All","Under 18","Below Poverty Level","Percent","Poverty Status",8.94
"Fairfield County","09001","2005-2009","All","Under 18","Below Poverty Level","Percent","Margins of Error",0.5
"Fairfield County","09001","2005-2009","All","Under 18","Poverty Status Determined","Number","Poverty Status",224073
"Fairfield County","09001","2005-2009","All","Under 18","Poverty Status Determined","Number","Margins of Error",2415.17
"Fairfield County","09001","2005-2009","All","Under 18","Poverty Status Determined","Percent","Poverty Status",25.72
"Fairfield County","09001","2005-2009","All","Under 18","Poverty Status Determined","Percent","Margins of Error",0.27
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Poverty Status",16
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Margins of Error",18
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Poverty Status",1.37
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Margins of Error",1.51
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Poverty Status",1165
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Margins of Error",274
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Poverty Status",0
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Margins of Error",426.08
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Poverty Status",0
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Margins of Error",187.7
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Poverty Status",227
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Margins of Error",471.49
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",19.48
"Fairfield County","09001","2005-2009","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",40.21
"Fairfield County","09001","2005-2009","Asian Alone","Total","Below Poverty Level","Number","Poverty Status",3073
"Fairfield County","09001","2005-2009","Asian Alone","Total","Below Poverty Level","Number","Margins of Error",747
"Fairfield County","09001","2005-2009","Asian Alone","Total","Below Poverty Level","Percent","Poverty Status",8.23
"Fairfield County","09001","2005-2009","Asian Alone","Total","Below Poverty Level","Percent","Margins of Error",2
"Fairfield County","09001","2005-2009","Asian Alone","Total","Poverty Status Determined","Number","Poverty Status",37328
"Fairfield County","09001","2005-2009","Asian Alone","Total","Poverty Status Determined","Number","Margins of Error",488
"Fairfield County","09001","2005-2009","Asian Alone","Under 18","Below Poverty Level","Number","Poverty Status",855
"Fairfield County","09001","2005-2009","Asian Alone","Under 18","Below Poverty Level","Number","Margins of Error",291.19
"Fairfield County","09001","2005-2009","Asian Alone","Under 18","Below Poverty Level","Percent","Poverty Status",8.67
"Fairfield County","09001","2005-2009","Asian Alone","Under 18","Below Poverty Level","Percent","Margins of Error",2.9
"Fairfield County","09001","2005-2009","Asian Alone","Under 18","Poverty Status Determined","Number","Poverty Status",9859
"Fairfield County","09001","2005-2009","Asian Alone","Under 18","Poverty Status Determined","Number","Margins of Error",608.01
"Fairfield County","09001","2005-2009","Asian Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",26.41
"Fairfield County","09001","2005-2009","Asian Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",1.59
"Fairfield County","09001","2005-2009","Black or African American Alone","Total","Below Poverty Level","Number","Poverty Status",15696
"Fairfield County","09001","2005-2009","Black or African American Alone","Total","Below Poverty Level","Number","Margins of Error",1552
"Fairfield County","09001","2005-2009","Black or African American Alone","Total","Below Poverty Level","Percent","Poverty Status",17.75
"Fairfield County","09001","2005-2009","Black or African American Alone","Total","Below Poverty Level","Percent","Margins of Error",1.74
"Fairfield County","09001","2005-2009","Black or African American Alone","Total","Poverty Status Determined","Number","Poverty Status",88409
"Fairfield County","09001","2005-2009","Black or African American Alone","Total","Poverty Status Determined","Number","Margins of Error",1030
"Fairfield County","09001","2005-2009","Black or African American Alone","Under 18","Below Poverty Level","Number","Poverty Status",6564
"Fairfield County","09001","2005-2009","Black or African American Alone","Under 18","Below Poverty Level","Number","Margins of Error",650.48
"Fairfield County","09001","2005-2009","Black or African American Alone","Under 18","Below Poverty Level","Percent","Poverty Status",24.72
"Fairfield County","09001","2005-2009","Black or African American Alone","Under 18","Below Poverty Level","Percent","Margins of Error",2.22
"Fairfield County","09001","2005-2009","Black or African American Alone","Under 18","Poverty Status Determined","Number","Poverty Status",26558
"Fairfield County","09001","2005-2009","Black or African American Alone","Under 18","Poverty Status Determined","Number","Margins of Error",1117.73
"Fairfield County","09001","2005-2009","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",30.04
"Fairfield County","09001","2005-2009","Black or African American Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",1.21
"Fairfield County","09001","2005-2009","Hispanic or Latino","Total","Below Poverty Level","Number","Poverty Status",22798
"Fairfield County","09001","2005-2009","Hispanic or Latino","Total","Below Poverty Level","Number","Margins of Error",2045
"Fairfield County","09001","2005-2009","Hispanic or Latino","Total","Below Poverty Level","Percent","Poverty Status",17.44
"Fairfield County","09001","2005-2009","Hispanic or Latino","Total","Below Poverty Level","Percent","Margins of Error",1.56
"Fairfield County","09001","2005-2009","Hispanic or Latino","Total","Poverty Status Determined","Number","Poverty Status",130719
"Fairfield County","09001","2005-2009","Hispanic or Latino","Total","Poverty Status Determined","Number","Margins of Error",366
"Fairfield County","09001","2005-2009","Hispanic or Latino","Under 18","Below Poverty Level","Number","Poverty Status",8126
"Fairfield County","09001","2005-2009","Hispanic or Latino","Under 18","Below Poverty Level","Number","Margins of Error",710.95
"Fairfield County","09001","2005-2009","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Poverty Status",20.05
"Fairfield County","09001","2005-2009","Hispanic or Latino","Under 18","Below Poverty Level","Percent","Margins of Error",1.65
"Fairfield County","09001","2005-2009","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Poverty Status",40519
"Fairfield County","09001","2005-2009","Hispanic or Latino","Under 18","Poverty Status Determined","Number","Margins of Error",1225.93
"Fairfield County","09001","2005-2009","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Poverty Status",31
"Fairfield County","09001","2005-2009","Hispanic or Latino","Under 18","Poverty Status Determined","Percent","Margins of Error",0.93
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Poverty Status",0
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Number","Margins of Error",123
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Poverty Status",0
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Below Poverty Level","Percent","Margins of Error",138.2
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Poverty Status",89
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Total","Poverty Status Determined","Number","Margins of Error",64
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Poverty Status",0
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Number","Margins of Error",426.08
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Poverty Status",0
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Below Poverty Level","Percent","Margins of Error",2367.14
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Poverty Status",18
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Number","Margins of Error",590.55
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Poverty Status",20.22
"Fairfield County","09001","2005-2009","Native Hawaiian and Other Pacific Islander","Under 18","Poverty Status Determined","Percent","Margins of Error",663.7
"Fairfield County","09001","2005-2009","Some Other Race Alone","Total","Below Poverty Level","Number","Poverty Status",10342
"Fairfield County","09001","2005-2009","Some Other Race Alone","Total","Below Poverty Level","Number","Margins of Error",1634
"Fairfield County","09001","2005-2009","Some Other Race Alone","Total","Below Poverty Level","Percent","Poverty Status",20.03
"Fairfield County","09001","2005-2009","Some Other Race Alone","Total","Below Poverty Level","Percent","Margins of Error",2.99
"Fairfield County","09001","2005-2009","Some Other Race Alone","Total","Poverty Status Determined","Number","Poverty Status",51627
"Fairfield County","09001","2005-2009","Some Other Race Alone","Total","Poverty Status Determined","Number","Margins of Error",2665
"Fairfield County","09001","2005-2009","Some Other Race Alone","Under 18","Below Poverty Level","Number","Poverty Status",3463
"Fairfield County","09001","2005-2009","Some Other Race Alone","Under 18","Below Poverty Level","Number","Margins of Error",530.76
"Fairfield County","09001","2005-2009","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Poverty Status",23.68
"Fairfield County","09001","2005-2009","Some Other Race Alone","Under 18","Below Poverty Level","Percent","Margins of Error",3.29
"Fairfield County","09001","2005-2009","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Poverty Status",14623
"Fairfield County","09001","2005-2009","Some Other Race Alone","Under 18","Poverty Status Determined","Number","Margins of Error",951.29
"Fairfield County","09001","2005-2009","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",28.32
"Fairfield County","09001","2005-2009","Some Other Race Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",1.12
"Fairfield County","09001","2005-2009","Two or More Races","Total","Below Poverty Level","Number","Poverty Status",1335
"Fairfield County","09001","2005-2009","Two or More Races","Total","Below Poverty Level","Number","Margins of Error",403
"Fairfield County","09001","2005-2009","Two or More Races","Total","Below Poverty Level","Percent","Poverty Status",10.83
"Fairfield County","09001","2005-2009","Two or More Races","Total","Below Poverty Level","Percent","Margins of Error",3.13
"Fairfield County","09001","2005-2009","Two or More Races","Total","Poverty Status Determined","Number","Poverty Status",12332
"Fairfield County","09001","2005-2009","Two or More Races","Total","Poverty Status Determined","Number","Margins of Error",1069
"Fairfield County","09001","2005-2009","Two or More Races","Under 18","Below Poverty Level","Number","Poverty Status",756
"Fairfield County","09001","2005-2009","Two or More Races","Under 18","Below Poverty Level","Number","Margins of Error",261.95
"Fairfield County","09001","2005-2009","Two or More Races","Under 18","Below Poverty Level","Percent","Poverty Status",11.06
"Fairfield County","09001","2005-2009","Two or More Races","Under 18","Below Poverty Level","Percent","Margins of Error",3.7
"Fairfield County","09001","2005-2009","Two or More Races","Under 18","Poverty Status Determined","Number","Poverty Status",6834
"Fairfield County","09001","2005-2009","Two or More Races","Under 18","Poverty Status Determined","Number","Margins of Error",607.06
"Fairfield County","09001","2005-2009","Two or More Races","Under 18","Poverty Status Determined","Percent","Poverty Status",55.42
"Fairfield County","09001","2005-2009","Two or More Races","Under 18","Poverty Status Determined","Percent","Margins of Error",1.08
"Fairfield County","09001","2005-2009","White Alone","Total","Below Poverty Level","Number","Poverty Status",35190
"Fairfield County","09001","2005-2009","White Alone","Total","Below Poverty Level","Number","Margins of Error",2254
"Fairfield County","09001","2005-2009","White Alone","Total","Below Poverty Level","Percent","Poverty Status",5.17
